label_filename,correct_count,pred_count
IMG_4378_jpg.rf.fdf288663c85ac03c4e05ef429ba943c.txt,10,10
IMG_4230-2-_jpg.rf.0c800b8745ed94329ecc750c1f855f42.txt,3,3
IMG_4273_jpg.rf.77cb8cfe06bb66061c56ba2cf578af3a.txt,7,5
IMG_4268_jpg.rf.f6437bbae1b7a1529265f440e8933ce9.txt,7,6
IMG_4237-2-_jpg.rf.5d8da9d0814f7c2e44e4564e78a45092.txt,4,4
IMG_4280_JPG.rf.535ea5da92e17fc9a601bcfb6de984cf.txt,8,6
IMG_4227-2-_jpg.rf.e37a09f5b606fc2b1696403f955ff342.txt,3,3
IMG_4373_jpg.rf.6ddf6a347130c70827ff4ea1a6d47ccb.txt,8,8
IMG_4282_JPG.rf.80021fd1ee58bc6607302985024cfff8.txt,8,8
IMG_4840_jpg.rf.061b9d867ce31ad2c23094d936afaa9d.txt,16,13
IMG_4218-2-_JPG.rf.0828af44718b344ebb79ed76aa00f868.txt,2,2
IMG_4290_jpg.rf.018fa4063945b8c78cfa00da931df322.txt,9,8
IMG_4374_jpg.rf.cc649fb9cf7c63aa7e1d248be684aeb6.txt,8,8
IMG_4297_JPG.rf.ea787ab71588e6cd63d9e3fb32adf19b.txt,18,15
IMG_4239-2-_jpg.rf.034eb37f928017819633f1a572ab549f.txt,4,4
IMG_4874_jpg.rf.fa59433dcf03bb95f6b1e02294bd8e9b.txt,43,33
IMG_4285_JPG.rf.7c07c85d764671e70a4a68186b804dcc.txt,9,8
IMG_4856_jpg.rf.a6661cc7dda1f5755ffaf7264913dc6e.txt,17,13
IMG_4291_jpg.rf.daa6f3022097f41cbe9257eb33ac8e54.txt,9,7
IMG_4440_JPG.rf.c2a2053e07c0fe6e5b8a2e795f6caf61.txt,18,17
IMG_4233-2-_jpg.rf.df818aab3dcd9c4d15f74513b5b4bc8d.txt,3,3
IMG_4870_jpg.rf.86b0ace3d96209381d5a739353696f44.txt,17,13
IMG_4379_jpg.rf.f24285ab8c5a04472e6ea7440390ee62.txt,10,9
IMG_4301_jpg.rf.08543e7e000d266edc27f2de39466227.txt,18,16
IMG_4292_jpg.rf.8d57e6bec65695c123bf32ff4ab516be.txt,9,8
IMG_4444_JPG.rf.2ee93165ccae3759d8aa1498544ae439.txt,18,16
IMG_4248_JPG.rf.9dd04d59eb7f1f4f0a9be267237cd877.txt,5,5
IMG_4259_jpg.rf.42194e961b436f82a8cbe00c12e9beec.txt,6,6
